County Name/State Abbreviation,Year,total,number_employed,number_unemployed,unemployed_rate
"Lorain County, OH",2008,"162,294","150,542","11,752",7.2
"Lucas County, OH",2008,"222,510","204,271","18,239",8.2
"Madison County, OH",2008,"20,226","18,976","1,250",6.2
"Mahoning County, OH",2008,"115,951","107,709","8,242",7.1
"Marion County, OH",2008,"32,589","30,319","2,270",7.0
"Medina County, OH",2008,"97,445","91,578","5,867",6.0
"Meigs County, OH",2008,"9,152","8,238",914,10.0
"Mercer County, OH",2008,"24,743","23,533","1,210",4.9
"Miami County, OH",2008,"54,709","51,222","3,487",6.4
"Monroe County, OH",2008,"5,716","5,230",486,8.5
"Montgomery County, OH",2008,"267,512","247,643","19,869",7.4
"Morgan County, OH",2008,"5,816","5,224",592,10.2
"Morrow County, OH",2008,"17,990","16,726","1,264",7.0
"Muskingum County, OH",2008,"38,441","35,132","3,309",8.6
"Noble County, OH",2008,"5,841","5,344",497,8.5
"Ottawa County, OH",2008,"21,554","19,661","1,893",8.8
"Paulding County, OH",2008,"10,802","10,036",766,7.1
"Perry County, OH",2008,"16,399","15,009","1,390",8.5
"Pickaway County, OH",2008,"24,836","23,079","1,757",7.1
"Pike County, OH",2008,"10,867","9,769","1,098",10.1
"Portage County, OH",2008,"92,987","87,195","5,792",6.2
"Preble County, OH",2008,"21,447","19,968","1,479",6.9
"Putnam County, OH",2008,"18,468","17,407","1,061",5.7
"Richland County, OH",2008,"62,417","57,801","4,616",7.4
"Ross County, OH",2008,"34,722","31,980","2,742",7.9
"Sandusky County, OH",2008,"33,353","30,963","2,390",7.2
"Scioto County, OH",2008,"32,558","29,856","2,702",8.3
"Seneca County, OH",2008,"30,518","28,375","2,143",7.0
"Shelby County, OH",2008,"27,637","25,935","1,702",6.2
"Stark County, OH",2008,"192,231","179,299","12,932",6.7
"Summit County, OH",2008,"298,633","280,382","18,251",6.1
"Trumbull County, OH",2008,"105,695","97,803","7,892",7.5
"Tuscarawas County, OH",2008,"47,893","44,915","2,978",6.2
"Union County, OH",2008,"25,929","24,582","1,347",5.2
"Van Wert County, OH",2008,"15,421","14,120","1,301",8.4
"Vinton County, OH",2008,"5,726","5,202",524,9.2
"Warren County, OH",2008,"109,366","103,382","5,984",5.5
"Washington County, OH",2008,"33,103","31,297","1,806",5.5
"Wayne County, OH",2008,"59,496","56,124","3,372",5.7
"Williams County, OH",2008,"19,923","18,397","1,526",7.7
"Wood County, OH",2008,"68,986","64,355","4,631",6.7
"Wyandot County, OH",2008,"11,465","10,565",900,7.8
"Adair County, OK",2008,"10,875","10,351",524,4.8
"Alfalfa County, OK",2008,"2,486","2,411",75,3.0
"Atoka County, OK",2008,"6,060","5,786",274,4.5
"Beaver County, OK",2008,"3,273","3,207",66,2.0
"Beckham County, OK",2008,"12,513","12,230",283,2.3
"Blaine County, OK",2008,"5,010","4,831",179,3.6
"Bryan County, OK",2008,"20,398","19,710",688,3.4
"Caddo County, OK",2008,"12,512","12,014",498,4.0
"Canadian County, OK",2008,"52,212","50,477","1,735",3.3
"Carter County, OK",2008,"26,853","26,001",852,3.2
"Cherokee County, OK",2008,"22,979","22,125",854,3.7
"Choctaw County, OK",2008,"6,929","6,583",346,5.0
"Cimarron County, OK",2008,"1,253","1,216",37,3.0
"Cleveland County, OK",2008,"119,559","115,559","4,000",3.3
"Coal County, OK",2008,"2,500","2,380",120,4.8
"Comanche County, OK",2008,"46,026","44,310","1,716",3.7
"Cotton County, OK",2008,"3,905","3,798",107,2.7
"Craig County, OK",2008,"7,445","7,166",279,3.7
"Creek County, OK",2008,"31,295","29,995","1,300",4.2
"Custer County, OK",2008,"14,797","14,412",385,2.6
"Delaware County, OK",2008,"18,970","18,194",776,4.1
"Dewey County, OK",2008,"2,645","2,583",62,2.3
"Ellis County, OK",2008,"2,547","2,492",55,2.2
"Garfield County, OK",2008,"31,620","30,826",794,2.5
"Garvin County, OK",2008,"14,916","14,475",441,3.0
"Grady County, OK",2008,"22,946","22,056",890,3.9
"Grant County, OK",2008,"2,610","2,546",64,2.5
"Greer County, OK",2008,"2,044","1,957",87,4.3
"Harmon County, OK",2008,"1,337","1,293",44,3.3
"Harper County, OK",2008,"2,050","2,005",45,2.2
"Haskell County, OK",2008,"5,977","5,758",219,3.7
"Hughes County, OK",2008,"5,104","4,835",269,5.3
"Jackson County, OK",2008,"12,394","12,008",386,3.1
"Jefferson County, OK",2008,"2,405","2,305",100,4.2
"Johnston County, OK",2008,"5,190","4,971",219,4.2
"Kay County, OK",2008,"23,980","23,158",822,3.4
"Kingfisher County, OK",2008,"8,554","8,358",196,2.3
"Kiowa County, OK",2008,"4,048","3,898",150,3.7
"Latimer County, OK",2008,"4,702","4,504",198,4.2
"Le Flore County, OK",2008,"20,908","19,837","1,071",5.1
"Lincoln County, OK",2008,"13,872","13,332",540,3.9
"Logan County, OK",2008,"17,783","17,157",626,3.5
"Love County, OK",2008,"5,326","5,175",151,2.8
"McClain County, OK",2008,"14,995","14,463",532,3.5
"McCurtain County, OK",2008,"14,160","13,240",920,6.5
"McIntosh County, OK",2008,"8,613","8,209",404,4.7
"Major County, OK",2008,"4,308","4,209",99,2.3
"Marshall County, OK",2008,"6,577","6,317",260,4.0
"Mayes County, OK",2008,"18,590","17,820",770,4.1
"Murray County, OK",2008,"8,551","8,328",223,2.6
"Muskogee County, OK",2008,"29,796","28,419","1,377",4.6
"Noble County, OK",2008,"5,775","5,591",184,3.2
"Nowata County, OK",2008,"5,040","4,829",211,4.2
"Okfuskee County, OK",2008,"4,607","4,420",187,4.1
"Oklahoma County, OK",2008,"324,966","312,500","12,466",3.8
"Okmulgee County, OK",2008,"15,992","15,170",822,5.1
"Osage County, OK",2008,"20,146","19,327",819,4.1
"Ottawa County, OK",2008,"17,876","17,140",736,4.1
"Pawnee County, OK",2008,"7,314","6,994",320,4.4
"Payne County, OK",2008,"35,159","33,806","1,353",3.8
"Pittsburg County, OK",2008,"23,923","23,172",751,3.1
"Pontotoc County, OK",2008,"20,350","19,721",629,3.1
"Pottawatomie County, OK",2008,"33,090","31,842","1,248",3.8
"Pushmataha County, OK",2008,"5,266","5,018",248,4.7
"Roger Mills County, OK",2008,"1,948","1,904",44,2.3
"Rogers County, OK",2008,"40,352","38,968","1,384",3.4
"Seminole County, OK",2008,"11,061","10,575",486,4.4
"Sequoyah County, OK",2008,"17,732","16,706","1,026",5.8
"Stephens County, OK",2008,"22,263","21,512",751,3.4
"Texas County, OK",2008,"9,780","9,519",261,2.7
"Tillman County, OK",2008,"3,530","3,389",141,4.0
"Tulsa County, OK",2008,"294,516","284,159","10,357",3.5
"Wagoner County, OK",2008,"33,355","32,179","1,176",3.5
"Washington County, OK",2008,"27,503","26,684",819,3.0
"Washita County, OK",2008,"6,157","5,995",162,2.6
"Woods County, OK",2008,"4,355","4,235",120,2.8
"Woodward County, OK",2008,"12,641","12,365",276,2.2
"Baker County, OR",2008,"7,416","6,892",524,7.1
"Benton County, OR",2008,"42,965","40,971","1,994",4.6
"Clackamas County, OR",2008,"199,542","188,262","11,280",5.7
"Clatsop County, OR",2008,"20,307","19,252","1,055",5.2
"Columbia County, OR",2008,"24,118","22,422","1,696",7.0
"Coos County, OR",2008,"28,002","25,705","2,297",8.2
"Crook County, OR",2008,"9,762","8,803",959,9.8
"Curry County, OR",2008,"9,483","8,723",760,8.0
"Deschutes County, OR",2008,"81,469","74,867","6,602",8.1
"Douglas County, OR",2008,"46,373","41,827","4,546",9.8
"Gilliam County, OR",2008,"1,197","1,145",52,4.3
"Grant County, OR",2008,"3,366","3,013",353,10.5
"Harney County, OR",2008,"3,337","3,023",314,9.4
"Hood River County, OR",2008,"13,309","12,602",707,5.3
"Jackson County, OR",2008,"101,545","93,581","7,964",7.8
"Jefferson County, OR",2008,"9,318","8,390",928,10.0
"Josephine County, OR",2008,"34,861","31,687","3,174",9.1
"Klamath County, OR",2008,"30,753","27,963","2,790",9.1
"Lake County, OR",2008,"3,572","3,266",306,8.6
"Lane County, OR",2008,"183,270","171,055","12,215",6.7
"Lincoln County, OR",2008,"22,771","21,283","1,488",6.5
"Linn County, OR",2008,"55,037","50,805","4,232",7.7
"Malheur County, OR",2008,"12,716","11,769",947,7.4
"Marion County, OR",2008,"154,847","144,694","10,153",6.6
"Morrow County, OR",2008,"5,429","5,087",342,6.3
"Multnomah County, OR",2008,"387,098","364,578","22,520",5.8
"Polk County, OR",2008,"39,577","37,368","2,209",5.6
"Sherman County, OR",2008,970,914,56,5.8
"Tillamook County, OR",2008,"12,562","11,879",683,5.4
"Umatilla County, OR",2008,"37,508","35,072","2,436",6.5
"Union County, OR",2008,"12,275","11,293",982,8.0
"Wallowa County, OR",2008,"3,659","3,384",275,7.5
"Wasco County, OR",2008,"13,293","12,494",799,6.0
"Washington County, OR",2008,"288,451","273,311","15,140",5.2
"Wheeler County, OR",2008,615,579,36,5.9
"Yamhill County, OR",2008,"47,731","44,671","3,060",6.4
"Adams County, PA",2008,"56,303","53,868","2,435",4.3
"Allegheny County, PA",2008,"642,294","611,285","31,009",4.8
"Armstrong County, PA",2008,"33,347","31,372","1,975",5.9
"Beaver County, PA",2008,"90,394","85,435","4,959",5.5
"Bedford County, PA",2008,"24,427","22,759","1,668",6.8
"Berks County, PA",2008,"206,156","195,103","11,053",5.4
"Blair County, PA",2008,"65,464","62,062","3,402",5.2
"Bradford County, PA",2008,"31,093","29,455","1,638",5.3
"Bucks County, PA",2008,"352,899","336,238","16,661",4.7
"Butler County, PA",2008,"99,063","94,460","4,603",4.6
"Cambria County, PA",2008,"69,464","65,192","4,272",6.1
"Cameron County, PA",2008,"2,531","2,304",227,9.0
"Carbon County, PA",2008,"31,548","29,420","2,128",6.7
"Centre County, PA",2008,"75,407","72,159","3,248",4.3
"Chester County, PA",2008,"273,792","263,035","10,757",3.9
"Clarion County, PA",2008,"20,800","19,500","1,300",6.3
"Clearfield County, PA",2008,"40,708","37,967","2,741",6.7
"Clinton County, PA",2008,"19,427","18,224","1,203",6.2
"Columbia County, PA",2008,"36,350","34,210","2,140",5.9
"Crawford County, PA",2008,"43,489","41,039","2,450",5.6
"Cumberland County, PA",2008,"125,616","120,275","5,341",4.3
"Dauphin County, PA",2008,"137,854","131,387","6,467",4.7
"Delaware County, PA",2008,"287,033","272,706","14,327",5.0
"Elk County, PA",2008,"17,547","16,500","1,047",6.0
"Erie County, PA",2008,"141,674","133,685","7,989",5.6
"Fayette County, PA",2008,"66,607","62,247","4,360",6.5
"Forest County, PA",2008,"2,389","2,206",183,7.7
"Franklin County, PA",2008,"82,634","79,073","3,561",4.3
"Fulton County, PA",2008,"8,133","7,545",588,7.2
"Greene County, PA",2008,"18,590","17,513","1,077",5.8
"Huntingdon County, PA",2008,"22,594","21,109","1,485",6.6
"Indiana County, PA",2008,"46,891","44,415","2,476",5.3
"Jefferson County, PA",2008,"23,262","21,968","1,294",5.6
"Juniata County, PA",2008,"12,431","11,766",665,5.3
"Lackawanna County, PA",2008,"108,347","102,042","6,305",5.8
"Lancaster County, PA",2008,"274,081","262,391","11,690",4.3
"Lawrence County, PA",2008,"43,876","41,163","2,713",6.2
"Lebanon County, PA",2008,"73,242","70,194","3,048",4.2
"Lehigh County, PA",2008,"178,645","168,581","10,064",5.6
"Luzerne County, PA",2008,"161,478","151,361","10,117",6.3
"Lycoming County, PA",2008,"60,602","57,030","3,572",5.9
"McKean County, PA",2008,"21,902","20,556","1,346",6.1
"Mercer County, PA",2008,"55,714","51,973","3,741",6.7
"Mifflin County, PA",2008,"22,750","21,258","1,492",6.6
"Monroe County, PA",2008,"83,878","78,844","5,034",6.0
"Montgomery County, PA",2008,"437,303","418,401","18,902",4.3
"Montour County, PA",2008,"9,421","8,971",450,4.8
"Northampton County, PA",2008,"153,539","145,131","8,408",5.5
"Northumberland County, PA",2008,"47,950","44,813","3,137",6.5
"Perry County, PA",2008,"24,961","23,656","1,305",5.2
"Philadelphia County/city, PA",2008,"629,657","585,010","44,647",7.1
"Pike County, PA",2008,"28,394","26,685","1,709",6.0
"Potter County, PA",2008,"7,771","7,215",556,7.2
"Schuylkill County, PA",2008,"74,372","69,736","4,636",6.2
"Snyder County, PA",2008,"19,787","18,581","1,206",6.1
"Somerset County, PA",2008,"39,373","36,873","2,500",6.3
"Sullivan County, PA",2008,"3,001","2,830",171,5.7
"Susquehanna County, PA",2008,"21,991","20,745","1,246",5.7
"Tioga County, PA",2008,"20,589","19,338","1,251",6.1
"Union County, PA",2008,"17,820","16,702","1,118",6.3
"Venango County, PA",2008,"26,403","24,901","1,502",5.7
"Warren County, PA",2008,"21,790","20,652","1,138",5.2
"Washington County, PA",2008,"106,239","100,689","5,550",5.2
"Wayne County, PA",2008,"25,700","24,356","1,344",5.2
"Westmoreland County, PA",2008,"188,683","178,691","9,992",5.3
"Wyoming County, PA",2008,"14,524","13,646",878,6.0
"York County, PA",2008,"228,844","218,046","10,798",4.7
"Bristol County, RI",2008,"27,419","25,594","1,825",6.7
"Kent County, RI",2008,"97,234","90,192","7,042",7.2
"Newport County, RI",2008,"43,965","41,035","2,930",6.7
"Providence County, RI",2008,"327,053","300,138","26,915",8.2
"Washington County, RI",2008,"73,958","69,184","4,774",6.5
"Abbeville County, SC",2008,"11,345","10,419",926,8.2
"Aiken County, SC",2008,"74,962","70,536","4,426",5.9
"Allendale County, SC",2008,"3,339","2,784",555,16.6
"Anderson County, SC",2008,"85,293","79,472","5,821",6.8
"Bamberg County, SC",2008,"6,335","5,616",719,11.3
"Barnwell County, SC",2008,"8,826","7,856",970,11.0
"Beaufort County, SC",2008,"63,794","60,382","3,412",5.3
"Berkeley County, SC",2008,"79,902","74,956","4,946",6.2
"Calhoun County, SC",2008,"6,771","6,248",523,7.7
"Charleston County, SC",2008,"174,373","165,025","9,348",5.4
"Cherokee County, SC",2008,"25,567","23,228","2,339",9.1
"Chester County, SC",2008,"15,334","13,509","1,825",11.9
"Chesterfield County, SC",2008,"18,611","16,928","1,683",9.0
"Clarendon County, SC",2008,"12,526","11,289","1,237",9.9
"Colleton County, SC",2008,"16,668","15,282","1,386",8.3
"Darlington County, SC",2008,"31,117","28,442","2,675",8.6
"Dillon County, SC",2008,"12,986","11,635","1,351",10.4
"Dorchester County, SC",2008,"63,546","59,929","3,617",5.7
"Edgefield County, SC",2008,"10,945","10,202",743,6.8
"Fairfield County, SC",2008,"11,211","10,007","1,204",10.7
"Florence County, SC",2008,"62,806","58,358","4,448",7.1
"Georgetown County, SC",2008,"30,367","28,091","2,276",7.5
"Greenville County, SC",2008,"224,009","211,458","12,551",5.6
"Greenwood County, SC",2008,"30,649","28,288","2,361",7.7
"Hampton County, SC",2008,"7,730","7,030",700,9.1
"Horry County, SC",2008,"130,157","120,821","9,336",7.2
"Jasper County, SC",2008,"10,066","9,451",615,6.1
"Kershaw County, SC",2008,"29,778","27,810","1,968",6.6
"Lancaster County, SC",2008,"29,623","26,188","3,435",11.6
"Laurens County, SC",2008,"32,901","30,454","2,447",7.4
"Lee County, SC",2008,"8,132","7,367",765,9.4
"Lexington County, SC",2008,"132,722","126,184","6,538",4.9
"McCormick County, SC",2008,"3,448","3,073",375,10.9
"Marion County, SC",2008,"12,771","11,006","1,765",13.8
"Marlboro County, SC",2008,"11,675","10,202","1,473",12.6
"Newberry County, SC",2008,"18,601","17,295","1,306",7.0
"Oconee County, SC",2008,"30,632","28,371","2,261",7.4
"Orangeburg County, SC",2008,"41,141","36,946","4,195",10.2
"Pickens County, SC",2008,"58,174","54,618","3,556",6.1
"Richland County, SC",2008,"180,604","169,483","11,121",6.2
"Saluda County, SC",2008,"8,938","8,397",541,6.1
"Spartanburg County, SC",2008,"135,577","126,199","9,378",6.9
"Sumter County, SC",2008,"43,764","40,108","3,656",8.4
"Union County, SC",2008,"11,703","10,427","1,276",10.9
"Williamsburg County, SC",2008,"15,439","13,829","1,610",10.4
"York County, SC",2008,"107,789","100,159","7,630",7.1
"Aurora County, SD",2008,"1,479","1,433",46,3.1
"Beadle County, SD",2008,"9,697","9,454",243,2.5
"Bennett County, SD",2008,"1,366","1,311",55,4.0
"Bon Homme County, SD",2008,"3,072","2,966",106,3.5
"Brookings County, SD",2008,"19,576","19,101",475,2.4
"Brown County, SD",2008,"21,211","20,689",522,2.5
"Brule County, SD",2008,"2,802","2,726",76,2.7
"Buffalo County, SD",2008,482,433,49,10.2
"Butte County, SD",2008,"5,479","5,327",152,2.8
"Campbell County, SD",2008,838,814,24,2.9
"Charles Mix County, SD",2008,"4,051","3,908",143,3.5
"Clark County, SD",2008,"1,813","1,743",70,3.9
"Clay County, SD",2008,"7,693","7,481",212,2.8
"Codington County, SD",2008,"16,610","16,109",501,3.0
"Corson County, SD",2008,"1,363","1,293",70,5.1
"Custer County, SD",2008,"4,900","4,762",138,2.8
"Davison County, SD",2008,"11,284","10,989",295,2.6
"Day County, SD",2008,"2,911","2,784",127,4.4
"Deuel County, SD",2008,"2,772","2,666",106,3.8
"Dewey County, SD",2008,"2,512","2,280",232,9.2
"Douglas County, SD",2008,"1,705","1,659",46,2.7
"Edmunds County, SD",2008,"2,071","2,014",57,2.8
"Fall River County, SD",2008,"3,755","3,627",128,3.4
"Faulk County, SD",2008,"1,145","1,111",34,3.0
"Grant County, SD",2008,"4,255","4,101",154,3.6
"Gregory County, SD",2008,"2,367","2,286",81,3.4
"Haakon County, SD",2008,"1,159","1,129",30,2.6
"Hamlin County, SD",2008,"3,002","2,902",100,3.3
"Hand County, SD",2008,"1,890","1,840",50,2.6
"Hanson County, SD",2008,"1,978","1,918",60,3.0
"Harding County, SD",2008,784,763,21,2.7
"Hughes County, SD",2008,"10,314","10,069",245,2.4
"Hutchinson County, SD",2008,"3,754","3,639",115,3.1
"Hyde County, SD",2008,737,716,21,2.8
"Jackson County, SD",2008,"1,225","1,154",71,5.8
"Jerauld County, SD",2008,"1,434","1,400",34,2.4
"Jones County, SD",2008,691,674,17,2.5
"Kingsbury County, SD",2008,"3,009","2,911",98,3.3
"Lake County, SD",2008,"6,809","6,594",215,3.2
"Lawrence County, SD",2008,"13,532","13,145",387,2.9
"Lincoln County, SD",2008,"22,101","21,552",549,2.5
"Lyman County, SD",2008,"1,985","1,895",90,4.5
"McCook County, SD",2008,"2,741","2,644",97,3.5
"McPherson County, SD",2008,"1,116","1,069",47,4.2
"Marshall County, SD",2008,"2,108","2,016",92,4.4
"Meade County, SD",2008,"12,373","11,987",386,3.1
"Mellette County, SD",2008,880,841,39,4.4
"Miner County, SD",2008,"1,253","1,210",43,3.4
"Minnehaha County, SD",2008,"100,857","98,000","2,857",2.8
"Moody County, SD",2008,"4,061","3,886",175,4.3
"Pennington County, SD",2008,"55,184","53,566","1,618",2.9
"Perkins County, SD",2008,"1,619","1,569",50,3.1
"Potter County, SD",2008,"1,307","1,266",41,3.1
"Roberts County, SD",2008,"4,856","4,654",202,4.2
"Sanborn County, SD",2008,"1,421","1,383",38,2.7
"Shannon County, SD",2008,"3,785","3,466",319,8.4
"Spink County, SD",2008,"3,350","3,239",111,3.3
"Stanley County, SD",2008,"1,902","1,855",47,2.5
"Sully County, SD",2008,"1,001",979,22,2.2
"Todd County, SD",2008,"3,435","3,216",219,6.4
"Tripp County, SD",2008,"2,973","2,884",89,3.0
"Turner County, SD",2008,"4,267","4,126",141,3.3
"Union County, SD",2008,"8,413","8,124",289,3.4
"Walworth County, SD",2008,"2,678","2,563",115,4.3
"Yankton County, SD",2008,"12,215","11,872",343,2.8
"Ziebach County, SD",2008,845,795,50,5.9
"Anderson County, TN",2008,"35,727","33,609","2,118",5.9
"Bedford County, TN",2008,"22,446","20,896","1,550",6.9
"Benton County, TN",2008,"7,048","6,421",627,8.9
"Bledsoe County, TN",2008,"4,914","4,494",420,8.5
"Blount County, TN",2008,"63,320","59,348","3,972",6.3
"Bradley County, TN",2008,"47,471","44,382","3,089",6.5
"Campbell County, TN",2008,"16,962","15,621","1,341",7.9
"Cannon County, TN",2008,"6,584","6,090",494,7.5
"Carroll County, TN",2008,"13,761","12,482","1,279",9.3
"Carter County, TN",2008,"29,671","27,676","1,995",6.7
"Cheatham County, TN",2008,"20,354","19,224","1,130",5.6
"Chester County, TN",2008,"7,935","7,374",561,7.1
"Claiborne County, TN",2008,"13,315","12,298","1,017",7.6
"Clay County, TN",2008,"3,479","3,103",376,10.8
"Cocke County, TN",2008,"16,485","15,012","1,473",8.9
"Coffee County, TN",2008,"25,685","24,037","1,648",6.4
"Crockett County, TN",2008,"6,457","5,871",586,9.1
"Cumberland County, TN",2008,"23,161","21,312","1,849",8.0
"Davidson County, TN",2008,"323,325","305,530","17,795",5.5
"Decatur County, TN",2008,"5,667","5,180",487,8.6
"DeKalb County, TN",2008,"10,156","9,466",690,6.8
"Dickson County, TN",2008,"23,545","21,889","1,656",7.0
"Dyer County, TN",2008,"17,579","16,231","1,348",7.7
"Fayette County, TN",2008,"18,151","16,778","1,373",7.6
"Fentress County, TN",2008,"8,042","7,273",769,9.6
"Franklin County, TN",2008,"19,862","18,517","1,345",6.8
"Gibson County, TN",2008,"21,179","19,138","2,041",9.6
"Giles County, TN",2008,"13,445","12,348","1,097",8.2
"Grainger County, TN",2008,"10,231","9,403",828,8.1
"Greene County, TN",2008,"30,235","27,369","2,866",9.5
"Grundy County, TN",2008,"5,940","5,435",505,8.5
"Hamblen County, TN",2008,"30,250","28,065","2,185",7.2
"Hamilton County, TN",2008,"167,629","157,931","9,698",5.8
"Hancock County, TN",2008,"2,558","2,343",215,8.4
"Hardeman County, TN",2008,"11,569","10,556","1,013",8.8
"Hardin County, TN",2008,"11,878","10,956",922,7.8
"Hawkins County, TN",2008,"26,940","25,104","1,836",6.8
"Haywood County, TN",2008,"9,480","8,468","1,012",10.7
"Henderson County, TN",2008,"12,083","10,827","1,256",10.4
"Henry County, TN",2008,"13,908","12,675","1,233",8.9
"Hickman County, TN",2008,"10,131","9,264",867,8.6
"Houston County, TN",2008,"3,859","3,541",318,8.2
"Humphreys County, TN",2008,"9,013","8,238",775,8.6
"Jackson County, TN",2008,"4,975","4,539",436,8.8
"Jefferson County, TN",2008,"24,586","22,808","1,778",7.2
"Johnson County, TN",2008,"7,271","6,631",640,8.8
"Knox County, TN",2008,"229,783","218,137","11,646",5.1
"Lake County, TN",2008,"2,670","2,462",208,7.8
"Lauderdale County, TN",2008,"10,349","9,044","1,305",12.6
"Lawrence County, TN",2008,"16,610","14,957","1,653",10.0
"Lewis County, TN",2008,"5,457","4,900",557,10.2
"Lincoln County, TN",2008,"17,185","16,323",862,5.0
"Loudon County, TN",2008,"23,523","22,170","1,353",5.8
"McMinn County, TN",2008,"24,007","21,875","2,132",8.9
"McNairy County, TN",2008,"11,510","10,448","1,062",9.2
"Macon County, TN",2008,"10,625","9,725",900,8.5
"Madison County, TN",2008,"48,604","45,274","3,330",6.9
"Marion County, TN",2008,"13,022","12,007","1,015",7.8
"Marshall County, TN",2008,"12,580","11,398","1,182",9.4
"Maury County, TN",2008,"37,532","34,434","3,098",8.3
"Meigs County, TN",2008,"4,963","4,515",448,9.0
"Monroe County, TN",2008,"18,944","17,033","1,911",10.1
"Montgomery County, TN",2008,"67,907","63,566","4,341",6.4
"Moore County, TN",2008,"3,160","2,981",179,5.7
"Morgan County, TN",2008,"8,554","7,893",661,7.7
"Obion County, TN",2008,"15,580","14,468","1,112",7.1
"Overton County, TN",2008,"10,103","9,181",922,9.1
"Perry County, TN",2008,"2,981","2,496",485,16.3
"Pickett County, TN",2008,"1,892","1,685",207,10.9
"Polk County, TN",2008,"7,031","6,455",576,8.2
"Putnam County, TN",2008,"36,009","33,647","2,362",6.6
"Rhea County, TN",2008,"13,429","12,340","1,089",8.1
"Roane County, TN",2008,"27,195","25,567","1,628",6.0
"Robertson County, TN",2008,"33,432","31,340","2,092",6.3
"Rutherford County, TN",2008,"133,313","125,467","7,846",5.9
"Scott County, TN",2008,"8,532","7,531","1,001",11.7
"Sequatchie County, TN",2008,"6,262","5,778",484,7.7
"Sevier County, TN",2008,"48,410","44,931","3,479",7.2
"Shelby County, TN",2008,"439,434","408,538","30,896",7.0
"Smith County, TN",2008,"9,250","8,482",768,8.3
"Stewart County, TN",2008,"5,922","5,408",514,8.7
"Sullivan County, TN",2008,"74,504","70,484","4,020",5.4
"Sumner County, TN",2008,"79,858","75,012","4,846",6.1
"Tipton County, TN",2008,"28,700","26,401","2,299",8.0
"Trousdale County, TN",2008,"3,716","3,401",315,8.5
"Unicoi County, TN",2008,"8,422","7,787",635,7.5
"Union County, TN",2008,"8,789","8,228",561,6.4
"Van Buren County, TN",2008,"2,504","2,292",212,8.5
"Warren County, TN",2008,"17,488","15,980","1,508",8.6
"Washington County, TN",2008,"62,097","58,544","3,553",5.7
"Wayne County, TN",2008,"6,635","5,956",679,10.2
"Weakley County, TN",2008,"15,637","14,336","1,301",8.3
"White County, TN",2008,"10,610","9,707",903,8.5
"Williamson County, TN",2008,"88,902","84,740","4,162",4.7
"Wilson County, TN",2008,"58,437","55,030","3,407",5.8
"Anderson County, TX",2008,"20,168","19,010","1,158",5.7
"Andrews County, TX",2008,"6,850","6,614",236,3.4
"Angelina County, TX",2008,"38,983","37,084","1,899",4.9
"Aransas County, TX",2008,"11,359","10,846",513,4.5
"Archer County, TX",2008,"5,115","4,923",192,3.8
"Armstrong County, TX",2008,"1,088","1,049",39,3.6
"Atascosa County, TX",2008,"18,854","17,949",905,4.8
"Austin County, TX",2008,"12,979","12,418",561,4.3
"Bailey County, TX",2008,"3,330","3,190",140,4.2
"Bandera County, TX",2008,"9,635","9,202",433,4.5
"Bastrop County, TX",2008,"33,586","31,900","1,686",5.0
"Baylor County, TX",2008,"2,026","1,948",78,3.8
"Bee County, TX",2008,"11,211","10,502",709,6.3
"Bell County, TX",2008,"122,060","115,963","6,097",5.0
"Bexar County, TX",2008,"746,756","711,010","35,746",4.8
"Blanco County, TX",2008,"4,858","4,677",181,3.7
"Borden County, TX",2008,395,382,13,3.3
"Bosque County, TX",2008,"8,243","7,860",383,4.6
"Bowie County, TX",2008,"43,366","41,157","2,209",5.1
"Brazoria County, TX",2008,"141,988","134,556","7,432",5.2
"Brazos County, TX",2008,"91,440","87,805","3,635",4.0
"Brewster County, TX",2008,"5,087","4,894",193,3.8
"Briscoe County, TX",2008,702,671,31,4.4
"Brooks County, TX",2008,"3,260","3,083",177,5.4
"Brown County, TX",2008,"18,382","17,555",827,4.5
"Burleson County, TX",2008,"7,863","7,509",354,4.5
"Burnet County, TX",2008,"22,101","21,220",881,4.0
"Caldwell County, TX",2008,"15,334","14,511",823,5.4
"Calhoun County, TX",2008,"9,354","8,898",456,4.9
"Callahan County, TX",2008,"7,083","6,820",263,3.7
"Cameron County, TX",2008,"145,612","135,725","9,887",6.8
"Camp County, TX",2008,"5,544","5,268",276,5.0
"Carson County, TX",2008,"3,276","3,164",112,3.4
"Cass County, TX",2008,"12,861","12,058",803,6.2
"Castro County, TX",2008,"3,590","3,458",132,3.7
"Chambers County, TX",2008,"14,238","13,409",829,5.8
"Cherokee County, TX",2008,"20,281","19,063","1,218",6.0
"Childress County, TX",2008,"3,044","2,888",156,5.1
"Clay County, TX",2008,"6,022","5,780",242,4.0
"Cochran County, TX",2008,"1,497","1,424",73,4.9
"Coke County, TX",2008,"1,279","1,178",101,7.9
"Coleman County, TX",2008,"4,349","4,167",182,4.2
"Collin County, TX",2008,"404,668","386,020","18,648",4.6
"Collingsworth County, TX",2008,"1,471","1,412",59,4.0
"Colorado County, TX",2008,"10,900","10,462",438,4.0
"Comal County, TX",2008,"54,530","52,264","2,266",4.2
"Comanche County, TX",2008,"6,509","6,257",252,3.9
"Concho County, TX",2008,"1,324","1,254",70,5.3
"Cooke County, TX",2008,"22,389","21,593",796,3.6
