County Name/State Abbreviation,Year,total,number_employed,number_unemployed,unemployed_rate
"Scotland County, MO",2008,"2,568","2,399",169,6.6
"Scott County, MO",2008,"19,977","18,675","1,302",6.5
"Shannon County, MO",2008,"3,749","3,456",293,7.8
"Shelby County, MO",2008,"3,343","3,167",176,5.3
"Stoddard County, MO",2008,"15,499","14,338","1,161",7.5
"Stone County, MO",2008,"16,629","15,339","1,290",7.8
"Sullivan County, MO",2008,"3,532","3,330",202,5.7
"Taney County, MO",2008,"28,460","26,278","2,182",7.7
"Texas County, MO",2008,"11,248","10,472",776,6.9
"Vernon County, MO",2008,"10,060","9,499",561,5.6
"Warren County, MO",2008,"16,636","15,401","1,235",7.4
"Washington County, MO",2008,"10,151","9,119","1,032",10.2
"Wayne County, MO",2008,"5,881","5,487",394,6.7
"Webster County, MO",2008,"16,878","15,926",952,5.6
"Worth County, MO",2008,"1,153","1,090",63,5.5
"Wright County, MO",2008,"8,259","7,666",593,7.2
"St. Louis city, MO",2008,"157,824","145,567","12,257",7.8
"Beaverhead County, MT",2008,"5,145","4,955",190,3.7
"Big Horn County, MT",2008,"5,203","4,814",389,7.5
"Blaine County, MT",2008,"3,002","2,879",123,4.1
"Broadwater County, MT",2008,"2,465","2,341",124,5.0
